type,title,synopsis,genre
FILME,#euvocêtodasnós 1,"#euvocêtodasnós mostra como o feminismo, através de mulheres atuantes em blogs e redes sociais, ganha força com o ativismo pela internet, mobilizando outras mulheres e abrindo espaço no debate público.",Documentário
FILME,#garotas: O Filme,Três jovens amigas que se divertem nas maiores festas do Rio de Janeiro. Uma delas retorna de viagem decidida a se comportar. Mas amigas não estão dispostas a deixá-la sair da vida de festas.,Comédia Drama
FILME,#horror,Um grupo de garotas de 12 anos de idade enfrenta uma noite de horror quando o vício compulsivo por um jogo transforma um momento de cyber-bullying em uma noite de insanidades.,Terror
FILME,#uberxtaxi,#UberXTáxis discute a chegada do aplicativo Uber e de seus concorrentes nas principais capitais do Brasil.,Documentário
FILME,(People) Of Water,"Por milhares de anos, as canoas havaianas conectaram diversas culturas. O filme segue a história de Rob Prechtl, enquanto ele e seus amigos conectam as raízes de água doce ao mar.",Documentário
FILME,10 Segundos,"O ""Galinho de Ouro"" Eder Jofre é um dos maiores boxeadores de todos os tempos. Nem a infância difícil conseguiu impedi-lo de se tornar campeão mundial em duas categorias distintas.",Drama
FILME,"10,000 Saints","Nos anos 1980, o adolescente Jude vai morar com seu pai, o hippie Les, em Manhattan. Lá, além de conhecer Eliza, a complicada filha da namorada do pai por quem desenvolve um interesse romântico, é apresentado a uma cidade movida a música, sexo e drogas.",Drama
FILME,12 Days Of Giving,"Um homem ganha uma fortuna e decide compartilhar o prêmio com as pessoas de sua pequena cidade, mas ele não podia imaginar que o amor seria uma de suas recompensas.  ",Drama
FILME,120 Battements Par Minute,"Nathan e Sean vivem um relacionamento intenso, apesar do estado de saúde delicado de Sean, que é soropositivo.",Drama
FILME,"1968 A Year Of War, Turmoil & Beyond","A revolução estudantil em Paris, o famoso “maio de 68”, a execução de Martin Luther King e Robert Kennedy. Entenda o ano de 1968 e seus acontecimentos que mudaram pra sempre a história do mundo.",Documentário
